station,start_from,end_in,trip_duration_start_from,trip_duration_end_in,month
Columbus Dr at Exchange Pl,633,673,358.0,387.0,Mar
Newark Ave,469,516,312.0,324.0,Mar
Hamilton Park,910,871,357.5,368.0,Mar
Brunswick & 6th,412,340,317.0,342.0,Mar
Astor Place,196,210,435.5,426.0,Mar
JC Medical Center,381,382,683.0,717.0,Mar
Harborside,858,836,400.0,382.0,Mar
Sip Ave,888,801,391.0,349.0,Mar
Washington St,382,381,433.5,513.0,Mar
Riverview Park,95,89,871.0,944.0,Mar
Monmouth and 6th,294,271,307.5,283.0,Mar
Glenwood Ave,120,94,891.5,843.5,Mar
Van Vorst Park,372,370,389.0,505.0,Mar
Grand St,239,240,366.0,417.5,Mar
Newport Pkwy,641,693,693.0,711.0,Mar
Warren St,434,426,368.5,391.0,Mar
5 Corners Library,84,77,559.5,756.0,Mar
Liberty Light Rail,676,685,1004.5,1480.0,Mar
Grove St PATH,1335,1643,286.0,271.0,Mar
Montgomery St,256,268,522.0,489.0,Mar
Oakland Ave,133,105,378.0,487.0,Mar
Dixon Mills,324,302,227.5,267.0,Mar
Hilltop,172,126,599.5,670.0,Mar
Lafayette Park,141,142,610.0,650.5,Mar
Christ Hospital,101,85,496.0,632.0,Mar
Pershing Field,185,181,628.0,656.0,Mar
Jackson Square,64,63,976.0,774.0,Mar
Lincoln Park,172,215,998.0,924.0,Mar
Dey St,75,76,635.0,394.5,Mar
Hoboken Ave at Monmouth St,138,155,620.5,530.0,Mar
Paulus Hook,401,412,513.0,501.0,Mar
Journal Square,232,203,439.0,397.0,Mar
Communipaw & Berry Lane,64,66,795.5,687.0,Mar
Jersey & 6th St,308,280,242.0,269.5,Mar
Heights Elevator,98,89,1008.0,1269.0,Mar
Union St,85,89,777.0,682.0,Mar
Bergen Ave,209,212,366.0,363.0,Mar
Leonard Gordon Park,71,60,778.0,830.0,Mar
York St,140,161,345.5,452.0,Mar
Fairmount Ave,124,121,745.0,723.0,Apr
Oakland Ave,90,66,572.0,579.0,Apr
Sip Ave,525,479,450.0,399.0,Apr
Lincoln Park,95,105,972.0,1326.0,Apr
Newark Ave,205,220,440.0,478.0,Apr
Morris Canal,322,337,1379.5,1379.0,Apr
Paulus Hook,277,277,1205.0,1215.0,Apr
Hamilton Park,348,367,648.0,680.0,Apr
Monmouth and 6th,147,135,618.0,595.0,Apr
Bergen Ave,231,227,376.0,355.0,Apr
Pershing Field,159,152,1107.0,1363.0,Apr
Harborside,370,353,990.0,837.0,Apr
City Hall,225,245,811.0,800.0,Apr
Glenwood Ave,78,77,1150.0,1267.0,Apr
Hilltop,136,110,717.5,685.0,Apr
Marin Light Rail,416,404,1237.5,990.5,Apr
Christ Hospital,96,62,513.5,722.5,Apr
Jackson Square,63,56,857.0,1048.0,Apr
Van Vorst Park,217,225,790.0,807.0,Apr
Liberty Light Rail,347,360,1656.0,1688.5,Apr
Essex Light Rail,128,133,761.0,750.0,Apr
Jersey & 6th St,112,120,805.0,956.0,Apr
Grand St,110,127,674.5,855.0,Apr
York St,90,95,1144.5,747.0,Apr
Union St,64,71,918.5,760.0,Apr
Newport Pkwy,682,663,1108.5,1251.0,Apr
Grove St PATH,328,424,433.0,516.5,Apr
Baldwin at Montgomery,172,162,611.5,707.5,Apr
Hoboken Ave at Monmouth St,147,144,1916.0,1998.0,Apr
Lafayette Park,31,38,626.0,824.5,Apr
Brunswick & 6th,125,134,705.0,767.5,Apr
Columbus Dr at Exchange Pl,240,246,1000.5,921.0,Apr
JC Medical Center,258,254,880.0,910.0,Apr
Warren St,239,240,780.0,762.5,Apr
Dey St,62,50,1336.5,1253.5,Apr
Columbus Drive,244,235,897.0,895.0,Apr
Dixon Mills,122,117,536.5,520.0,Apr
Manila & 1st,112,124,542.5,686.5,Apr
Jersey & 3rd,114,116,441.5,457.5,Apr
Brunswick St,112,115,1351.0,955.0,Apr
Montgomery St,176,188,680.0,526.5,Apr
McGinley Square,214,175,384.5,534.0,Apr
Newport PATH,263,261,853.0,787.0,Apr
Washington St,248,242,1207.5,1406.0,Apr
Riverview Park,54,53,1309.5,1437.0,Apr
Astor Place,100,105,488.5,457.0,Apr
Heights Elevator,80,90,1747.0,2013.5,Apr
